Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,18.37,18.63,18.27,18.57,11291100,18.57
2017-05-01,18.26,18.26,18.26,18.26,000,18.26
2017-04-28,18.20,18.40,18.12,18.26,10489400,18.26
2017-04-27,18.22,18.24,18.01,18.20,12905300,18.20
2017-04-26,18.30,18.31,18.10,18.21,8025000,18.21
2017-04-25,18.03,18.40,17.97,18.32,12074400,18.32
2017-04-24,18.15,18.18,17.96,18.03,9175400,18.03
2017-04-21,17.98,17.98,17.98,17.98,000,17.98
2017-04-20,17.99,18.19,17.92,17.98,11200800,17.98
2017-04-19,18.17,18.19,17.99,18.10,24670100,18.10
2017-04-18,18.01,18.24,18.01,18.16,11850500,18.16
2017-04-17,17.80,18.14,17.72,18.06,11646300,18.06
2017-04-14,17.76,17.76,17.76,17.76,000,17.76
2017-04-13,17.57,17.91,17.50,17.76,15008500,17.76
2017-04-12,17.65,17.82,17.56,17.67,19716200,17.67
2017-04-11,18.00,18.06,17.40,17.62,24885700,17.62
2017-04-10,18.10,18.14,17.91,18.00,15477000,18.00
2017-04-07,18.00,18.13,17.92,18.05,8071400,18.05
2017-04-06,17.88,18.05,17.77,17.98,9731500,17.98
2017-04-05,18.08,18.18,17.81,17.88,8734100,17.88
2017-04-04,18.01,18.11,17.88,18.11,5538800,18.11
2017-04-03,18.20,18.24,18.00,18.00,13499300,18.00
2017-03-31,18.22,18.37,18.17,18.24,12291400,18.24
2017-03-30,18.17,18.33,18.07,18.27,9191600,18.27
2017-03-29,17.94,18.18,17.88,18.18,9521200,18.18
2017-03-28,17.75,17.94,17.69,17.94,9862500,17.94
2017-03-27,17.53,17.83,17.50,17.79,8736700,17.79
2017-03-24,17.43,17.63,17.42,17.63,7812100,17.63
2017-03-23,17.19,17.59,17.13,17.44,9162800,17.44
2017-03-22,17.37,17.47,17.15,17.31,8537200,17.31
2017-03-21,17.70,17.70,17.38,17.42,10175600,17.42
2017-03-20,17.35,17.78,17.12,17.64,14252900,17.64
2017-03-17,17.34,17.46,17.10,17.21,17182600,17.21
2017-03-16,17.31,17.39,17.13,17.28,5855300,17.28
2017-03-15,17.01,17.34,17.01,17.30,12800100,17.30
2017-03-14,17.31,17.41,17.10,17.10,7321400,17.10
2017-03-13,17.35,17.49,17.30,17.36,6258700,17.36
2017-03-10,17.35,17.47,17.25,17.30,12386500,17.30
2017-03-09,17.10,17.38,17.06,17.30,13084700,17.30
2017-03-08,16.83,17.23,16.75,17.12,21297600,17.12
