Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,24.24,24.49,24.06,24.30,6708000,24.30
2017-05-01,24.10,24.10,24.10,24.10,000,24.10
2017-04-28,24.15,24.38,23.89,24.10,6196600,24.10
2017-04-27,24.50,24.50,24.10,24.25,3276200,24.25
2017-04-26,24.68,24.68,23.96,24.36,5519900,24.36
2017-04-25,24.68,24.98,24.50,24.78,4699900,24.78
2017-04-24,24.83,25.18,24.70,24.93,4936000,24.93
2017-04-21,24.74,24.74,24.74,24.74,000,24.74
2017-04-20,24.79,24.89,24.60,24.74,9361300,24.74
2017-04-19,24.90,24.90,24.45,24.70,3953300,24.70
2017-04-18,24.30,24.78,24.25,24.75,3859200,24.75
2017-04-17,24.45,24.69,24.12,24.51,7532600,24.51
2017-04-14,24.33,24.33,24.33,24.33,000,24.33
2017-04-13,24.47,24.50,23.80,24.33,7909200,24.33
2017-04-12,28.56,29.43996,28.41996,29.16,9387600,24.30
2017-04-11,28.74,28.92,28.14996,28.70004,5656900,23.9167
2017-04-10,28.98,29.24004,28.32996,28.92,5064100,24.10
2017-04-07,28.50,29.57004,28.38996,28.98996,5539600,24.1583
2017-04-06,28.95996,29.00004,28.20,28.49004,8914300,23.7417
2017-04-05,30.12996,30.20004,28.86,29.21004,11894600,24.3417
2017-04-04,29.19996,30.08004,28.89996,30.08004,9049800,25.0667
2017-04-03,28.47996,29.16,28.14996,29.10,8209000,24.25
2017-03-31,28.08,28.65,27.80004,28.31004,8719400,23.5917
2017-03-30,28.13004,28.35,27.96996,28.05,7775500,23.375
2017-03-29,28.14,28.35996,27.81,28.11,7314600,23.425
2017-03-28,28.08996,28.25004,27.84996,28.14,3268500,23.45
2017-03-27,27.50004,28.05,27.27996,28.02,6711600,23.35
2017-03-24,26.93004,27.75,26.88996,27.69996,5193900,23.0833
2017-03-23,26.37,27.42996,26.31996,27.17004,4874200,22.6417
2017-03-22,26.70,26.99004,26.42004,26.58996,5126100,22.1583
2017-03-21,27.00,27.09,26.34996,26.70,11493000,22.25
2017-03-20,27.20004,27.48,26.90004,27.03996,8462000,22.5333
2017-03-17,27.06,27.50004,26.87004,27.27,6922900,22.725
2017-03-16,27.08004,27.26004,26.69004,27.05004,5044000,22.5417
2017-03-15,26.64996,27.39,26.10996,27.23004,6117400,22.52493
2017-03-14,26.82,26.90004,26.40,26.49996,7734800,21.921
2017-03-13,27.18,27.21996,26.75004,26.81004,5437900,22.1775
2017-03-10,27.30,27.45996,26.88,27.00,8535300,22.33464
2017-03-09,26.90004,27.53004,26.88,27.15,6221100,22.45872
2017-03-08,27.26004,27.27996,26.60004,27.09996,6635500,22.41733
2017-03-07,27.68004,27.68004,26.79,27.11004,13115100,22.42567
2017-03-06,28.23996,28.34004,27.51996,27.68004,12369900,22.89718
2017-03-03,27.51996,28.62996,27.51996,28.35,8844100,23.45137
2017-03-02,27.39996,27.63996,26.97996,27.35004,7237800,22.6242
2017-03-01,27.99996,28.65996,27.56004,27.63,7394700,22.85578
2017-02-28,27.27996,27.27996,27.27996,27.27996,000,22.56623
2017-02-27,27.27996,27.27996,27.27996,27.27996,000,22.56623
2017-02-24,27.68004,27.68004,26.91996,27.27996,7701700,22.56623
2017-02-23,28.50,28.73004,27.72996,27.83004,6736900,23.02126
2017-02-22,28.74996,28.98,27.95004,28.43004,8959900,23.51758
2017-02-21,28.40004,29.00004,28.35,28.82004,9171100,23.8402
2017-02-20,28.80,28.98,28.28004,28.40004,3750600,23.49277
2017-02-17,28.77996,29.07,28.61004,28.80,6122200,23.82362
2017-02-16,28.74,29.19,28.67004,29.07996,8402600,24.0552
2017-02-15,27.80004,28.94004,27.80004,28.76004,11553900,23.79056
2017-02-14,27.99996,27.99996,27.57996,27.74004,8293400,22.94681
2017-02-13,27.84996,28.08996,27.30996,27.99996,8668900,23.16182
2017-02-10,27.99996,28.14,27.41004,27.62004,7596300,22.84754
2017-02-09,27.90,28.22004,27.63,27.99996,8092000,23.16182
2017-02-08,27.45996,27.93,27.05004,27.93,7915900,23.10395
2017-02-07,27.05004,27.51,26.66004,27.51,11707900,22.75652
2017-02-06,27.03,27.09996,26.60004,26.91,5816600,22.26019
2017-02-03,26.64,27.29004,26.54004,26.97,8710600,22.30983
2017-02-02,26.34996,26.97,25.89,26.64996,3762000,22.04508
2017-02-01,26.81004,26.91996,26.25,26.34996,9254200,21.79692
2017-01-31,27.15996,27.30996,26.24004,26.49,15121400,21.91277
2017-01-30,27.50004,27.56004,26.58996,26.72004,8679100,22.10306
2017-01-27,27.03,27.63,26.76,27.63,15183800,22.85578
2017-01-26,26.15004,26.96004,26.15004,26.96004,20181900,22.30159
2017-01-25,25.91004,25.91004,25.91004,25.91004,000,21.43302
2017-01-24,25.07004,26.40996,24.90996,25.91004,11285100,21.43302
2017-01-23,24.69,25.02996,24.54996,24.84996,12519800,20.55611
2017-01-20,25.29996,25.49004,24.42996,24.54,19021500,20.29971
2017-01-19,25.16004,25.44996,25.04004,25.20996,7056800,20.85391
2017-01-18,25.50,25.58004,24.96996,25.14996,7423900,20.80427
2017-01-17,25.58004,25.74,25.44996,25.46004,5053800,21.06077
2017-01-16,25.98,26.21004,25.80996,25.91004,2002600,21.43302
2017-01-13,25.98996,26.30004,25.59996,25.98,6230100,21.49089
2017-01-12,26.70,27.12996,25.77,25.77,10139700,21.31717
2017-01-11,26.67,26.79996,26.00004,26.18004,12110800,21.65636
2017-01-10,27.53004,27.75996,26.19996,26.58,19725800,21.98721
2017-01-09,27.36,28.10004,27.24996,27.50004,6350100,22.74828
2017-01-06,27.30996,27.57996,27.21996,27.36996,3567000,22.64068
2017-01-05,27.65004,27.84,27.30996,27.30996,3741700,22.59104
2017-01-04,27.83004,28.02,27.51996,27.60996,3612600,22.83921
2017-01-03,27.54,28.38996,27.48,28.01004,4989800,23.06131
2017-01-02,27.84996,27.93996,27.17004,27.24996,2231100,22.43552
2016-12-30,27.89004,27.89004,27.89004,27.89004,000,22.96251
2016-12-29,27.56004,28.20996,27.42996,27.89004,6289900,22.96251
2016-12-28,27.36996,27.69,26.25996,27.56004,8318500,22.69081
2016-12-27,27.99996,28.13004,27.23004,27.39996,5713000,22.55901
2016-12-26,27.99996,28.17996,27.96,27.99996,2566500,23.05301
2016-12-23,28.22004,28.58004,27.75996,27.95004,14904400,23.01191
2016-12-22,27.68004,28.47,27.68004,28.20,10300900,23.21771
2016-12-21,27.21,28.32996,26.96004,28.10004,11644500,23.13541
2016-12-20,26.24004,27.24996,26.01,27.18996,15263000,22.38612
2016-12-19,26.49,26.76996,25.76004,25.89996,6889000,21.32403
2016-12-16,24.81,26.52,24.78,26.49,21095400,21.80982
2016-12-15,25.80996,26.37996,24.48996,24.48996,8217100,20.16315
2016-12-14,26.67,26.75004,25.86996,26.03004,10566300,21.43113
2016-12-13,26.79996,27.69,26.54004,26.67,7448000,21.95802
2016-12-12,27.96996,27.96996,26.85996,26.94996,9915900,22.18852
2016-12-09,28.85004,28.89,27.93996,27.96996,5643200,23.02831
2016-12-08,29.60004,29.67996,28.28004,28.47,3978600,23.44
2016-12-07,28.47996,29.58996,28.44,29.24004,7090200,24.07399
2016-12-06,28.29996,28.86996,27.96,28.34004,4989100,23.333
2016-12-05,28.44996,28.83996,28.05996,28.46004,5622400,23.4318
2016-12-02,28.89996,29.10,28.40004,28.59996,9551000,23.547
2016-12-01,28.89996,28.89996,28.89996,28.89996,11609600,23.794
