Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,8.94,9.29,8.79,9.29,10123900,9.1682
2017-05-01,8.88,8.88,8.88,8.88,000,8.7636
2017-04-28,8.62,8.88,8.52,8.88,10855700,8.7636
2017-04-27,9.00,9.01,8.50,8.58,13518500,8.4675
2017-04-26,9.25,9.33,8.85,8.90,12771800,8.7833
2017-04-25,9.46,9.47,9.25,9.37,5715500,9.2472
2017-04-24,9.54,9.70,9.32,9.41,5865900,9.2866
2017-04-21,9.51,9.51,9.51,9.51,000,9.3853
2017-04-20,9.41,9.69,9.35,9.51,4341200,9.3853
2017-04-19,9.50,9.73,9.31,9.34,6499000,9.2176
2017-04-18,9.35,9.54,9.30,9.44,6443800,9.3163
2017-04-17,9.08,9.52,9.08,9.40,7829800,9.2768
2017-04-14,9.02,9.02,9.02,9.02,000,8.9018
2017-04-13,9.48,9.60,9.02,9.02,10988800,8.9018
2017-04-12,9.58,9.78,9.34,9.50,15288900,9.3755
2017-04-11,9.69,9.97,9.53,9.88,7537600,9.7505
2017-04-10,9.82,9.87,9.52,9.60,7122700,9.4742
2017-04-07,9.72,9.90,9.53,9.82,7840500,9.6913
2017-04-06,9.89,10.00,9.59,9.71,8430600,9.5827
2017-04-05,9.96,10.14,9.75,9.83,3956000,9.7011
2017-04-04,10.24,10.27,9.88,9.93,6658700,9.7998
2017-04-03,10.48,10.48,10.11,10.25,3103200,10.1156
2017-03-31,10.09,10.44,10.08,10.32,3192700,10.1847
2017-03-30,10.35,10.45,10.11,10.26,2956200,10.1255
2017-03-29,10.06,10.46,9.93,10.35,6868300,10.2143
2017-03-28,10.72,10.72,10.20,10.37,11246100,10.2341
2017-03-27,10.11,10.56,9.86,10.54,8102000,10.4018
2017-03-24,10.05,10.35,10.00,10.21,7644400,10.0762
2017-03-23,9.80,10.25,9.62,9.83,10785800,9.7011
2017-03-22,9.99,10.01,9.01,9.83,23739200,9.7011
2017-03-21,10.94,11.09,10.04,10.04,13983500,9.9084
2017-03-20,11.60,11.74,10.84,10.92,9222700,10.7769
2017-03-17,11.69,12.04,11.34,11.58,12198600,11.4282
2017-03-16,11.31,11.71,11.28,11.59,6670100,11.4381
2017-03-15,11.06,11.31,10.87,11.22,7776600,11.0729
2017-03-14,11.50,11.50,10.91,11.01,7069900,10.8657
2017-03-13,11.35,11.65,11.25,11.48,6428900,11.3295
2017-03-10,10.81,11.05,10.75,10.95,4846000,10.8065
2017-03-09,11.30,11.33,10.70,10.87,8800400,10.7275
2017-03-08,11.69,11.78,11.05,11.30,7769700,11.1519
2017-03-07,11.30,11.69,11.07,11.65,7171800,11.4973
2017-03-06,11.25,11.47,10.97,11.10,4686100,10.9545
2017-03-03,10.66,11.26,10.59,11.21,8245100,11.0631
2017-03-02,10.75,10.81,10.44,10.68,9475900,10.54
2017-03-01,10.45,10.73,10.27,10.70,5635400,10.5597
2017-02-28,10.69,10.69,10.69,10.69,000,10.5499
2017-02-27,10.69,10.69,10.69,10.69,000,10.5499
2017-02-24,10.62,10.90,10.45,10.69,6297500,10.5499
2017-02-23,11.20,11.50,10.73,10.77,10572900,10.6288
2017-02-22,11.27,11.74,10.87,11.00,15067700,10.8558
2017-02-21,10.72,11.27,10.72,11.25,10445700,11.1025
2017-02-20,10.45,10.74,10.44,10.64,3100900,10.5005
2017-02-17,10.25,10.49,10.09,10.42,7284200,10.2834
2017-02-16,9.98,10.39,9.93,10.34,9053400,10.2045
2017-02-15,9.40,10.06,9.40,10.03,13254400,9.8985
2017-02-14,9.35,9.45,9.21,9.38,6618400,9.257
2017-02-13,9.18,9.40,9.12,9.31,7616200,9.188
2017-02-10,8.87,9.25,8.81,9.04,8877200,8.9215
2017-02-09,8.99,9.00,8.63,8.86,8460000,8.7439
2017-02-08,8.85,8.97,8.70,8.95,5657200,8.8327
2017-02-07,8.91,9.08,8.75,8.82,4432500,8.7044
2017-02-06,9.30,9.37,8.82,8.82,5914100,8.7044
2017-02-03,9.17,9.40,9.07,9.27,8502200,9.1485
2017-02-02,8.94,9.21,8.85,9.13,4653000,9.0103
2017-02-01,9.04,9.21,8.90,8.99,8912100,8.8722
