Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,15.01,15.18,14.75,14.76,6941000,14.76
2017-05-01,15.36,15.36,15.36,15.36,000,15.36
2017-04-28,15.24,15.38,15.12,15.36,2447700,15.36
2017-04-27,15.40,15.43,14.92,15.16,2948300,15.16
2017-04-26,15.44,15.49,15.23,15.33,2127900,15.33
2017-04-25,15.63,15.63,15.28,15.37,4323400,15.37
2017-04-24,15.89,15.89,15.56,15.63,1422800,15.52809
2017-04-21,15.69,15.69,15.69,15.69,000,15.5877
2017-04-20,15.74,15.91,15.66,15.69,3216600,15.5877
2017-04-19,15.96,15.99,15.69,15.70,1759900,15.59764
2017-04-18,15.94,15.94,15.63,15.83,2391800,15.72679
2017-04-17,15.90,16.12,15.50,16.12,3084000,16.0149
2017-04-14,15.80,15.80,15.80,15.80,000,15.69698
2017-04-13,16.75,16.81,15.67,15.80,3370400,15.69698
2017-04-12,16.89,16.94,16.66,16.66,2921300,16.55138
2017-04-11,17.07,17.14,16.76,16.83,2330300,16.72027
2017-04-10,17.40,17.45,16.93,17.01,2378900,16.89909
2017-04-07,17.40,17.45,17.18,17.35,2018700,17.23688
2017-04-06,16.73,17.39,16.65,17.30,3493900,17.1872
2017-04-05,17.20,17.40,16.77,16.85,2486700,16.74014
2017-04-04,17.00,17.41,16.93,17.14,1891400,17.02825
2017-04-03,17.34,17.34,16.81,17.01,2857600,16.89909
2017-03-31,17.48,17.70,17.23,17.39,1754900,17.27662
2017-03-30,17.73,17.73,17.38,17.49,1173600,17.37596
2017-03-29,17.62,17.77,17.36,17.58,2381300,17.46538
2017-03-28,17.60,17.93,17.42,17.75,1600200,17.63427
2017-03-27,17.74,17.85,17.33,17.60,1542300,17.48525
2017-03-24,18.02,18.03,17.67,17.76,1192400,17.6442
2017-03-23,17.68,17.90,17.51,17.88,1800000,17.76342
2017-03-22,17.68,17.84,17.48,17.69,2445300,17.57466
2017-03-21,18.90,19.00,17.71,17.75,3953700,17.63427
2017-03-20,18.60,19.12,18.50,18.90,2920300,18.73703
2017-03-17,18.76,18.93,18.25,18.50,3696100,18.34048
2017-03-16,18.46,18.84,18.29,18.66,1615500,18.4991
2017-03-15,18.59,18.63,18.00,18.37,4248600,18.2116
2017-03-14,18.99,19.15,18.57,18.57,1977500,18.40988
2017-03-13,18.81,19.00,18.81,18.90,1956000,18.73703
2017-03-10,19.29,19.48,18.73,18.77,3419900,18.60815
2017-03-09,19.35,19.93,19.09,19.18,6491500,19.01462
2017-03-08,18.35,18.86,18.23,18.79,3104800,18.62798
2017-03-07,18.10,18.49,18.10,18.34,1461900,18.18186
2017-03-06,18.30,18.57,18.08,18.19,2095300,18.03315
2017-03-03,17.80,18.38,17.80,18.32,1725400,18.16203
2017-03-02,18.01,18.19,17.67,17.80,3583800,17.64652
2017-03-01,18.12,18.19,18.00,18.04,1664200,17.88445
2017-02-28,17.93,17.93,17.93,17.93,000,17.7754
2017-02-27,17.93,17.93,17.93,17.93,000,17.7754
2017-02-24,17.70,18.03,17.35,17.93,2162600,17.7754
2017-02-23,18.30,18.59,17.78,17.81,2467100,17.65643
2017-02-22,18.39,18.47,18.08,18.28,2273300,18.12238
2017-02-21,18.65,18.94,18.31,18.46,2861400,18.30083
2017-02-20,18.40,18.60,18.40,18.54,1116100,18.38014
2017-02-17,18.10,18.32,18.03,18.17,1361900,18.01333
2017-02-16,18.37,18.51,17.93,18.10,2736200,17.94393
2017-02-15,18.54,18.65,18.25,18.34,3553700,18.18186
2017-02-14,18.41,18.57,18.20,18.31,1720300,18.15212
2017-02-13,18.32,18.60,18.24,18.35,1534300,18.19177
2017-02-10,17.62,18.28,17.58,18.12,2017700,17.96376
2017-02-09,17.47,17.84,17.38,17.78,1955000,17.62669
2017-02-08,18.05,18.10,17.23,17.47,3279800,17.31936
2017-02-07,17.71,18.13,17.71,18.01,1258600,17.85471
2017-02-06,18.04,18.17,17.61,17.77,1595600,17.61678
2017-02-03,17.95,18.10,17.86,17.96,1412200,17.80514
2017-02-02,18.23,18.36,17.84,17.84,1438700,17.68617
2017-02-01,18.01,18.57,18.01,18.23,2465500,18.07281
2017-01-31,17.70,18.07,17.35,18.00,2358500,17.84479
2017-01-30,18.22,18.25,17.67,17.71,1789000,17.55729
2017-01-27,18.35,18.55,17.98,18.28,1921400,18.12238
2017-01-26,18.67,18.88,18.34,18.39,2925100,18.23143
2017-01-25,18.68,18.68,18.68,18.68,000,18.51893
2017-01-24,18.21,18.78,18.12,18.68,2989900,18.51893
2017-01-23,17.91,18.45,17.91,18.21,2194100,18.05298
2017-01-20,17.65,18.08,17.56,18.00,2229500,17.84479
2017-01-19,17.66,17.79,17.22,17.65,1824500,17.49781
2017-01-18,17.58,17.71,17.41,17.60,2445700,17.44824
2017-01-17,17.11,17.65,16.96,17.49,2581800,17.33919
2017-01-16,16.98,17.12,16.86,17.10,1103500,16.95255
2017-01-13,16.50,16.97,16.50,16.80,2287200,16.65514
2017-01-12,16.72,16.85,16.41,16.49,3042400,16.34781
2017-01-11,16.48,16.77,16.40,16.75,1559300,16.60557
2017-01-10,16.62,16.89,16.28,16.45,1658900,16.30816
2017-01-09,16.59,16.70,16.33,16.62,1279700,16.47669
2017-01-06,16.50,16.58,16.31,16.58,1040200,16.43704
2017-01-05,16.18,16.50,16.09,16.50,1358500,16.35773
2017-01-04,16.20,16.39,16.07,16.17,1351000,16.03057
2017-01-03,16.00,16.36,16.00,16.36,2032500,16.21893
2017-01-02,15.90,16.00,15.84,16.00,563200,15.86204
2016-12-30,16.00,16.00,16.00,16.00,000,15.86204
2016-12-29,15.69,16.00,15.63,16.00,1724900,15.86204
2016-12-28,15.61,15.83,15.59,15.69,1233300,15.55471
2016-12-27,15.58,15.68,15.33,15.61,1250200,15.4754
2016-12-26,15.40,15.62,15.36,15.45,571100,15.31678
2016-12-23,15.28,15.43,15.11,15.30,1143200,15.16807
2016-12-22,15.29,15.39,15.16,15.26,1890600,15.12842
2016-12-21,15.29,15.29,15.29,15.29,3550600,15.15816
2016-12-20,15.30,15.30,14.81,14.95,1753600,14.82109
2016-12-19,15.45,15.60,15.05,15.20,1830800,15.06894
2016-12-16,15.01,15.73,15.01,15.52,3945900,15.38618
2016-12-15,15.44,15.62,14.90,15.00,3801100,14.87066
2016-12-14,15.47,15.65,15.30,15.43,2876000,15.29695
2016-12-13,15.47,15.62,15.25,15.48,3391100,15.34652
2016-12-12,15.93,16.00,15.36,15.59,2981400,15.45557
2016-12-09,16.30,16.37,15.74,16.04,3695600,15.90169
2016-12-08,17.10,17.15,16.10,16.20,3251700,16.06031
2016-12-07,16.52,16.96,16.10,16.96,8337800,16.81376
2016-12-06,16.78,17.08,16.43,16.50,4314800,16.35773
2016-12-05,17.00,17.19,16.74,16.86,1621000,16.71462
2016-12-02,16.81,17.06,16.45,17.00,2836200,16.85342
2016-12-01,16.62,17.23,16.36,16.92,5235000,16.7741
2016-11-30,16.66,16.93,16.57,16.57,3170700,16.42712
2016-11-29,16.71,16.89,16.42,16.49,1439300,16.34781
2016-11-28,16.90,16.90,16.53,16.80,1564000,16.65514
2016-11-25,16.66,17.10,16.64,16.90,1741800,16.75428
2016-11-24,16.79,16.79,16.51,16.62,861100,16.47669
2016-11-23,16.43,16.87,16.40,16.79,3393100,16.64523
2016-11-22,16.95,16.95,16.06,16.35,6773800,16.20902
2016-11-21,17.60,17.65,16.99,16.99,3437000,16.8435
2016-11-18,18.00,18.09,17.51,17.51,1697900,17.35902
2016-11-17,17.76,18.05,17.45,17.93,2463700,17.7754
2016-11-16,18.20,18.24,17.35,17.76,3830500,17.60686
2016-11-15,17.70,17.70,17.70,17.70,000,17.54738
2016-11-14,17.40,17.77,17.02,17.70,6620600,17.54738
2016-11-11,18.52,18.60,17.44,17.53,11386000,17.37885
2016-11-10,17.70,18.43,17.68,18.26,9982200,18.10255
2016-11-09,16.72,17.57,16.52,17.48,6208000,17.32928
2016-11-08,17.75,17.75,17.23,17.28,2455800,17.131
2016-11-07,17.52,17.74,17.06,17.68,3272500,17.52755
2016-11-04,17.02,17.68,16.80,17.33,4256900,17.18057
2016-11-03,17.70,17.73,17.02,17.02,6730200,16.87324
2016-11-02,17.75,17.75,17.75,17.75,000,17.59695
2016-11-01,17.30,18.04,17.25,17.75,8813100,17.59695
2016-10-31,16.25,17.17,16.16,17.15,5873900,17.00212
2016-10-28,15.98,16.44,15.80,16.05,5419900,15.91161
2016-10-27,15.78,16.06,15.65,15.88,5577500,15.74307
2016-10-26,15.74,15.80,15.57,15.72,2910600,15.58445
2016-10-25,15.56,15.89,15.44,15.66,2685000,15.52497
2016-10-24,15.90,15.97,15.56,15.56,3373300,15.42583
2016-10-21,15.50,15.85,15.36,15.66,3392700,15.52497
2016-10-20,15.65,15.69,15.23,15.50,3735800,15.36635
2016-10-19,15.89,16.08,15.51,15.63,5898400,15.49523
2016-10-18,15.66,15.91,15.45,15.85,5733800,15.71333
2016-10-17,14.93,15.30,14.93,15.30,6968700,15.16807
2016-10-14,14.45,14.84,14.37,14.78,7113300,14.65256
2016-10-13,14.01,14.45,13.92,14.36,20380000,14.23618
2016-10-12,14.01,14.01,14.01,14.01,000,13.8892
2016-10-11,14.33,14.48,13.90,14.01,5594700,13.8892
2016-10-10,14.59,14.66,14.20,14.28,4234300,14.15687
2016-10-07,14.89,14.89,14.40,14.50,4980300,14.37497
2016-10-06,14.60,14.89,14.59,14.80,2931200,14.67239
2016-10-05,14.24,14.45,14.22,14.45,1675100,14.3254
2016-10-04,14.24,14.37,14.05,14.19,2210300,14.06764
2016-10-03,14.03,14.27,13.95,14.16,2354800,14.0379
2016-09-30,14.26,14.34,13.96,14.01,3018100,13.8892
2016-09-29,14.72,14.91,14.23,14.23,4273700,14.1073
