Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,9.86,10.13,9.86,10.05,8207000,10.05
2017-05-01,9.80,9.80,9.80,9.80,000,9.80
2017-04-28,9.71,10.00,9.70,9.80,9111300,9.80
2017-04-27,9.86,9.93,9.52,9.68,7496700,9.68
2017-04-26,9.85,9.96,9.71,9.81,10016300,9.81
2017-04-25,9.60,9.87,9.58,9.84,7486500,9.84
2017-04-24,9.78,9.82,9.58,9.66,8160500,9.66
2017-04-21,9.55,9.55,9.55,9.55,000,9.55
2017-04-20,9.42,9.59,9.36,9.55,12079700,9.55
2017-04-19,9.46,9.62,9.19,9.30,9429000,9.30
2017-04-18,9.50,9.54,9.25,9.37,12221500,9.37
2017-04-17,9.50,9.69,9.39,9.62,8188800,9.62
2017-04-14,9.45,9.45,9.45,9.45,000,9.45
2017-04-13,9.64,9.82,9.41,9.45,14084500,9.45
2017-04-12,9.85,9.96,9.51,9.52,17657000,9.52
2017-04-11,10.36,10.41,9.92,10.03,10737700,10.03
2017-04-10,10.62,10.66,10.21,10.35,9233600,10.35
2017-04-07,10.29,10.80,10.17,10.55,8138100,10.55
2017-04-06,10.71,10.76,10.35,10.47,7506200,10.47
2017-04-05,11.03,11.28,10.55,10.65,10049800,10.65
2017-04-04,10.73,11.00,10.71,10.90,4818000,10.90
2017-04-03,10.97,10.99,10.63,10.74,7259900,10.74
2017-03-31,10.66,11.07,10.60,10.89,7760700,10.89
2017-03-30,11.15,11.15,10.63,10.70,7088400,10.70
2017-03-29,11.09,11.22,10.95,11.06,6341800,11.06
2017-03-28,11.05,11.16,10.80,11.00,8813500,11.00
2017-03-27,10.90,11.08,10.70,11.01,9435100,11.01
2017-03-24,11.48,11.60,10.97,11.15,7846700,11.15
2017-03-23,11.72,11.91,11.36,11.45,10246700,11.45
2017-03-22,11.60,11.95,11.17,11.74,14606900,11.74
2017-03-21,12.43,12.49,11.59,11.74,11636500,11.74
2017-03-20,12.15,12.69,11.81,12.64,9179900,12.64
2017-03-17,12.92,12.97,12.34,12.34,15019900,12.34
2017-03-16,13.10,13.20,12.74,12.82,8045000,12.82
2017-03-15,12.50,13.07,12.36,13.07,14621200,13.07
2017-03-14,12.30,12.45,12.13,12.42,8854200,12.42
2017-03-13,12.07,12.37,11.96,12.37,8615400,12.37
2017-03-10,12.14,12.25,11.68,11.91,13099400,11.91
2017-03-09,12.09,12.49,11.75,11.95,16779200,11.95
2017-03-08,12.90,12.97,12.13,12.14,24694300,12.14
2017-03-07,13.13,13.52,13.02,13.02,9998600,13.02
2017-03-06,13.35,13.48,13.03,13.11,9300300,13.11
2017-03-03,13.12,13.38,13.03,13.35,7702000,13.35
2017-03-02,13.31,13.46,13.01,13.07,12258100,13.07
2017-03-01,13.30,13.55,13.24,13.30,11034900,13.30
2017-02-28,12.95,12.95,12.95,12.95,000,12.95
2017-02-27,12.95,12.95,12.95,12.95,000,12.95
2017-02-24,12.65,13.08,12.55,12.95,9337100,12.95
2017-02-23,13.25,13.56,12.66,12.81,11811900,12.81
2017-02-22,13.50,13.57,13.01,13.11,11143600,13.11
2017-02-21,13.52,13.75,13.44,13.67,9431200,13.67
2017-02-20,13.47,13.67,13.35,13.45,6415200,13.45
2017-02-17,13.35,13.39,13.12,13.32,7501900,13.32
2017-02-16,13.28,13.63,13.04,13.46,15681600,13.46
2017-02-15,13.22,13.53,13.15,13.36,13423200,13.36
2017-02-14,13.33,13.42,12.94,13.14,9831300,13.14
2017-02-13,13.01,13.43,12.99,13.30,13217500,13.30
2017-02-10,12.72,12.90,12.65,12.89,7302300,12.89
2017-02-09,12.29,12.54,12.21,12.50,6132800,12.50
2017-02-08,12.50,12.50,11.97,12.23,7512200,12.23
2017-02-07,12.66,12.78,12.25,12.33,7357500,12.33
2017-02-06,12.85,12.93,12.40,12.40,5166600,12.40
2017-02-03,12.61,12.70,12.33,12.70,14459500,12.70
2017-02-02,12.35,12.84,12.27,12.73,9914000,12.73
2017-02-01,12.32,12.54,12.23,12.42,11052100,12.42
2017-01-31,12.14,12.39,11.81,12.20,7941700,12.20
2017-01-30,12.42,12.53,12.00,12.04,6213200,12.04
2017-01-27,12.54,12.58,12.18,12.57,7318100,12.57
2017-01-26,12.95,12.97,12.35,12.49,8207200,12.49
2017-01-25,12.56,12.56,12.56,12.56,000,12.56
2017-01-24,12.93,13.05,12.34,12.56,12643900,12.56
2017-01-23,12.29,12.74,12.27,12.69,9901400,12.69
2017-01-20,11.99,12.28,11.91,12.22,11882600,12.22
2017-01-19,12.79,12.79,11.95,12.10,15930400,12.10
2017-01-18,12.99,13.38,12.25,12.61,17750000,12.61
2017-01-17,13.10,13.13,12.67,12.99,11350400,12.99
2017-01-16,13.10,13.29,13.09,13.20,5988500,13.20
2017-01-13,12.73,13.22,12.61,13.06,9680600,13.06
2017-01-12,13.00,13.07,12.67,12.80,11275000,12.80
2017-01-11,12.10,12.60,11.94,12.60,18069800,12.60
2017-01-10,12.01,12.04,11.80,11.98,8865100,11.98
2017-01-09,11.79,12.08,11.74,11.74,10316800,11.74
2017-01-06,11.70,11.84,11.50,11.73,9738700,11.73
2017-01-05,11.19,11.88,11.12,11.80,17609800,11.80
2017-01-04,11.10,11.27,10.94,11.02,9651100,11.02
2017-01-03,11.06,11.27,10.92,11.15,12321000,11.15
2017-01-02,10.70,10.97,10.54,10.84,3194600,10.84
2016-12-30,10.80,10.80,10.80,10.80,000,10.80
2016-12-29,10.86,10.90,10.56,10.80,6443900,10.80
2016-12-28,11.05,11.37,10.71,10.77,11836800,10.77
2016-12-27,10.73,11.01,10.67,10.98,8549800,10.98
2016-12-26,10.34,10.62,10.32,10.62,2542400,10.62
2016-12-23,10.45,10.54,10.25,10.30,9434500,10.30
2016-12-22,10.69,10.72,10.26,10.32,9511000,10.32
2016-12-21,10.74,10.94,10.62,10.78,10590000,10.78
2016-12-20,10.76,10.90,10.36,10.62,11187200,10.62
2016-12-19,10.87,11.34,10.52,10.54,14235900,10.54
2016-12-16,11.52,11.64,10.92,10.92,13321200,10.92
2016-12-15,11.02,11.58,10.73,11.45,13833200,11.45
2016-12-14,11.60,11.65,10.90,10.90,25656600,10.90
2016-12-13,12.11,12.23,11.67,11.69,11957600,11.69
2016-12-12,12.59,12.59,11.98,12.12,12897300,12.12
2016-12-09,13.65,13.77,12.69,12.87,15359200,12.87
2016-12-08,13.98,13.98,13.40,13.58,9746100,13.58
2016-12-07,13.45,13.79,13.26,13.72,10660100,13.72
2016-12-06,12.90,13.21,12.70,13.10,8117000,13.10
2016-12-05,13.20,13.40,12.92,13.05,8496100,13.05
2016-12-02,12.75,13.04,12.16,12.90,19617900,12.90
2016-12-01,13.92,13.98,12.84,12.95,14397600,12.95
2016-11-30,13.85,14.17,13.44,13.55,14625000,13.55
2016-11-29,14.45,14.53,13.86,13.86,10165500,13.86
2016-11-28,14.20,14.64,14.15,14.62,8324900,14.62
2016-11-25,13.84,14.20,13.70,14.20,8588900,14.20
2016-11-24,14.33,14.48,13.91,14.00,5463200,14.00
2016-11-23,13.99,14.40,13.65,14.37,15298400,14.37
2016-11-22,14.02,14.21,13.72,14.09,12149500,14.09
2016-11-21,13.51,13.96,13.35,13.54,15826100,13.52
2016-11-18,12.69,13.30,12.51,13.30,13807500,13.28035
2016-11-17,12.90,13.09,12.68,12.81,8703600,12.79108
2016-11-16,12.76,13.18,12.25,12.60,20140900,12.58139
2016-11-15,13.35,13.35,13.35,13.35,000,13.33028
2016-11-14,12.00,13.35,11.50,13.35,18988700,13.33028
2016-11-11,12.65,12.87,11.62,12.09,23550500,12.07214
2016-11-10,12.43,13.32,12.30,12.50,59663900,12.48154
2016-11-09,10.77,12.37,10.70,12.04,23451300,12.02222
2016-11-08,11.11,11.36,10.82,11.32,8955200,11.30328
2016-11-07,10.87,11.12,10.76,11.11,9024800,11.09359
2016-11-04,10.14,10.66,10.03,10.40,10494300,10.38464
2016-11-03,10.35,10.61,10.15,10.16,14881900,10.14499
2016-11-02,10.56,10.56,10.56,10.56,000,10.5444
2016-11-01,11.15,11.24,10.45,10.56,12929000,10.5444
2016-10-31,11.01,11.19,10.77,11.02,8981400,11.00372
2016-10-28,10.75,11.04,10.71,10.97,12693900,10.9538
2016-10-27,10.61,10.85,10.61,10.70,8337000,10.68419
2016-10-26,10.35,10.66,10.30,10.61,9871400,10.59433
2016-10-25,10.75,10.82,10.22,10.54,11937400,10.52443
2016-10-24,10.91,11.11,10.51,10.59,15107900,10.57436
2016-10-21,10.15,10.74,10.05,10.64,13831000,10.62428
2016-10-20,9.95,10.42,9.89,10.23,13777000,10.21489
2016-10-19,10.10,10.23,9.94,10.15,21141000,10.13501
2016-10-18,9.65,10.12,9.65,10.02,18566000,10.0052
2016-10-17,9.49,9.65,9.47,9.54,6226500,9.52591
2016-10-14,9.56,9.70,9.42,9.44,10622000,9.42606
2016-10-13,9.40,9.44,9.17,9.36,14941300,9.34617
2016-10-12,9.50,9.50,9.50,9.50,000,9.48597
2016-10-11,9.69,9.84,9.48,9.50,13444800,9.48597
2016-10-10,9.75,9.82,9.59,9.75,10933900,9.7356
2016-10-07,9.46,9.74,9.44,9.67,17795900,9.65572
2016-10-06,9.04,9.40,9.02,9.31,14800700,9.29625
2016-10-05,8.92,9.14,8.88,9.08,8449800,9.06659
2016-10-04,9.00,9.07,8.81,8.85,8697700,8.83693
2016-10-03,8.96,9.03,8.85,9.00,8119400,8.98671
2016-09-30,9.09,9.15,8.86,8.86,11688100,8.84691
2016-09-29,9.02,9.29,8.90,9.02,15965700,9.00668
2016-09-28,8.69,9.04,8.67,9.04,13661500,9.02665
2016-09-27,8.72,8.72,8.43,8.63,9066600,8.61725
2016-09-26,8.59,8.74,8.52,8.68,6219100,8.66718
