Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,10.31,11.06,10.28,11.05,7617600,11.05
2017-05-01,10.27,10.27,10.27,10.27,000,10.27
2017-04-28,10.45,10.50,10.23,10.27,18116600,10.27
2017-04-27,10.38,10.50,10.29,10.47,10327600,10.47
2017-04-26,10.37,10.50,10.23,10.44,15184300,10.44
2017-04-25,10.25,10.47,10.19,10.47,16738600,10.47
2017-04-24,10.20,10.45,10.02,10.25,20091200,10.25
2017-04-21,10.04,10.04,10.04,10.04,000,10.04
2017-04-20,10.15,10.30,9.99,10.04,17382400,10.04
2017-04-19,10.19,10.24,10.07,10.15,5080400,10.15
2017-04-18,10.25,10.39,10.16,10.20,5096300,10.20
2017-04-17,10.19,10.45,10.12,10.34,6507100,10.34
2017-04-14,10.20,10.20,10.20,10.20,000,10.20
2017-04-13,10.10,10.33,10.06,10.20,4957500,10.20
2017-04-12,10.37,10.39,10.05,10.15,17235200,10.15
2017-04-11,10.10,10.61,9.90,10.45,11609300,10.45
2017-04-10,9.92,10.12,9.77,10.07,6663600,10.07
2017-04-07,9.55,10.00,9.36,9.90,12521500,9.90
2017-04-06,9.76,9.83,9.46,9.50,6937500,9.50
2017-04-05,10.10,10.10,9.65,9.76,10283100,9.76
2017-04-04,10.21,10.25,9.97,10.03,6778600,10.03
2017-04-03,10.20,10.23,9.95,10.17,14029500,10.17
2017-03-31,10.33,10.43,10.21,10.21,5832400,10.21
2017-03-30,10.56,10.56,10.25,10.30,7622200,10.30
2017-03-29,10.55,10.63,10.35,10.48,9160500,10.48
2017-03-28,10.81,10.97,10.48,10.55,12054500,10.55
2017-03-27,11.30,11.46,10.62,10.76,9511100,10.76
2017-03-24,10.66,10.95,10.57,10.95,4944000,10.95
2017-03-23,10.64,11.05,10.60,10.83,6438900,10.83
2017-03-22,10.63,10.98,10.27,10.95,11119200,10.95
2017-03-21,10.89,11.05,10.59,10.76,8774500,10.76
2017-03-20,10.00,10.99,9.64,10.80,27626200,10.80
2017-03-17,11.48,11.57,10.64,10.72,20860000,10.72
2017-03-16,11.95,12.14,11.80,11.99,4497200,11.99
2017-03-15,11.73,12.00,11.55,11.90,4823800,11.90
2017-03-14,11.70,12.00,11.60,11.65,6385000,11.65
2017-03-13,11.25,11.66,11.25,11.62,3437100,11.62
2017-03-10,11.32,11.46,11.16,11.37,3209200,11.37
2017-03-09,11.25,11.48,11.16,11.25,7706400,11.25
2017-03-08,11.17,11.31,10.90,11.25,7514700,11.25
2017-03-07,11.16,11.21,10.77,11.11,7159500,11.11
2017-03-06,11.67,11.71,11.10,11.12,6364600,11.12
2017-03-03,11.68,11.83,11.59,11.59,5169100,11.59
2017-03-02,11.67,11.80,11.55,11.72,4981100,11.72
2017-03-01,11.73,11.92,11.62,11.76,8451100,11.76
2017-02-28,11.70,11.70,11.70,11.70,000,11.70
2017-02-27,11.70,11.70,11.70,11.70,000,11.70
2017-02-24,11.81,11.89,11.70,11.70,4831000,11.70
2017-02-23,11.91,12.15,11.83,11.90,5716400,11.90
2017-02-22,11.95,11.96,11.60,11.80,8091000,11.80
2017-02-21,11.97,12.05,11.90,11.90,6314100,11.90
2017-02-20,12.04,12.09,11.90,11.93,3945900,11.93
2017-02-17,12.17,12.21,11.98,12.05,3530700,12.05
2017-02-16,12.19,12.39,12.07,12.18,5695500,12.18
2017-02-15,12.01,12.27,12.01,12.20,10895300,12.20
2017-02-14,12.10,12.14,11.86,12.01,8065700,12.01
2017-02-13,12.12,12.24,12.05,12.15,5357500,12.15
2017-02-10,11.90,12.08,11.83,12.06,4789900,12.06
2017-02-09,12.00,12.10,11.86,11.91,4580100,11.91
2017-02-08,11.98,12.03,11.81,11.95,5898300,11.95
2017-02-07,11.52,12.04,11.29,11.89,9273900,11.89
2017-02-06,12.46,12.50,11.86,12.04,8689500,12.04
2017-02-03,12.47,12.57,12.35,12.46,5840900,12.46
2017-02-02,12.15,12.52,12.13,12.50,7643800,12.50
2017-02-01,11.96,12.41,11.94,12.33,9253300,12.33
2017-01-31,11.99,12.05,11.87,11.90,5600800,11.90
2017-01-30,11.88,11.95,11.70,11.95,5063600,11.95
2017-01-27,11.97,11.97,11.74,11.94,7479900,11.94
2017-01-26,12.05,12.12,11.91,11.97,7904100,11.97
2017-01-25,12.03,12.03,12.03,12.03,000,12.03
2017-01-24,11.97,12.03,11.77,12.03,6555600,12.03
2017-01-23,12.08,12.14,11.82,11.94,7035300,11.94
2017-01-20,11.99,12.17,11.91,12.08,16695700,12.08
2017-01-19,11.92,12.00,11.76,12.00,8053600,12.00
2017-01-18,11.79,12.01,11.78,11.88,7752200,11.88
2017-01-17,11.72,11.84,11.65,11.73,15319900,11.73
2017-01-16,11.77,11.78,11.24,11.46,4843200,11.46
2017-01-13,12.00,12.00,11.63,11.79,8842200,11.79
2017-01-12,12.20,12.29,11.90,12.04,13054800,12.04
2017-01-11,12.14,12.20,11.70,11.98,7194900,11.98
2017-01-10,11.60,12.07,11.58,12.05,10086800,12.05
2017-01-09,11.48,11.65,11.38,11.60,12994500,11.60
2017-01-06,11.45,11.51,11.40,11.50,3404400,11.50
2017-01-05,11.45,11.55,11.42,11.42,8548600,11.42
2017-01-04,11.45,11.60,11.36,11.45,7219100,11.45
2017-01-03,11.40,11.69,11.38,11.45,8974600,11.45
2017-01-02,11.35,11.46,11.18,11.30,1541000,11.30
2016-12-30,11.40,11.40,11.40,11.40,000,11.40
2016-12-29,11.48,11.53,11.34,11.40,6503800,11.40
2016-12-28,11.37,11.65,11.29,11.48,7147200,11.48
2016-12-27,11.50,11.53,11.28,11.31,3188300,11.31
2016-12-26,11.45,11.54,11.40,11.48,1820300,11.48
2016-12-23,11.46,11.55,11.33,11.40,3497400,11.40
2016-12-22,11.46,11.54,11.23,11.48,7447600,11.48
2016-12-21,11.46,11.46,11.46,11.46,8994500,11.46
2016-12-20,11.12,11.29,11.00,11.29,8108400,11.29
2016-12-19,11.15,11.26,10.97,11.07,7012800,11.07
2016-12-16,10.96,11.30,10.85,11.17,9864400,11.17
2016-12-15,10.99,11.09,10.78,10.92,5686900,10.92
2016-12-14,11.04,11.25,10.88,10.96,8864300,10.96
2016-12-13,10.76,11.20,10.66,11.15,7841000,11.15
