Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,14.39,14.70,14.23,14.36,9332900,14.36
2017-05-01,14.36,14.36,14.36,14.36,000,14.36
2017-04-28,14.19,14.64,14.15,14.36,5386100,14.36
2017-04-27,14.45,14.57,13.98,14.20,5193900,14.20
2017-04-26,14.53,14.96,14.42,14.42,8417200,14.42
2017-04-25,14.33,14.71,14.18,14.68,6962300,14.68
2017-04-24,14.52,14.57,14.25,14.39,4884800,14.39
2017-04-21,14.27,14.27,14.27,14.27,000,14.27
2017-04-20,14.25,14.40,14.08,14.27,7316200,14.27
2017-04-19,14.58,14.63,13.95,14.05,8012000,14.05
2017-04-18,14.58,14.71,14.35,14.46,7723400,14.46
2017-04-17,14.64,14.65,14.32,14.65,8161100,14.65
2017-04-14,14.51,14.51,14.51,14.51,000,14.51
2017-04-13,15.10,15.19,14.51,14.51,5412100,14.51
2017-04-12,15.20,15.39,15.14,15.19,11315100,15.19
2017-04-11,15.65,15.67,15.10,15.25,9582200,15.25
2017-04-10,15.50,15.65,15.36,15.63,9009300,15.63
2017-04-07,15.38,15.52,15.24,15.37,6677000,15.37
2017-04-06,15.25,15.55,15.04,15.28,8197800,15.28
2017-04-05,15.61,15.75,15.17,15.33,11486700,15.33
2017-04-04,15.25,15.50,15.13,15.43,4447400,15.43
2017-04-03,15.16,15.37,15.12,15.32,6573600,15.32
2017-03-31,15.08,15.34,14.97,15.15,5528100,15.15
2017-03-30,15.28,15.28,14.99,15.10,6181200,15.10
2017-03-29,14.65,15.19,14.62,15.16,7603600,15.16
2017-03-28,14.47,14.69,14.41,14.68,12531500,14.68
2017-03-27,14.02,14.44,13.69,14.43,6017700,14.43
2017-03-24,14.32,14.39,13.99,14.17,10118900,14.17
2017-03-23,14.06,14.44,13.96,14.14,10482500,14.14
2017-03-22,13.81,14.27,13.75,14.15,14386800,14.15
2017-03-21,14.22,14.22,13.48,13.70,10733100,13.70
2017-03-20,13.65,14.24,13.65,14.18,9613900,14.18
2017-03-17,14.54,14.56,13.72,13.85,41683900,13.85
2017-03-16,14.76,14.85,14.29,14.38,6937100,14.38
2017-03-15,14.59,14.76,14.28,14.75,15990400,14.75
2017-03-14,14.73,14.78,14.10,14.37,9045500,14.37
2017-03-13,14.90,14.96,14.66,14.93,5685800,14.93
2017-03-10,15.05,15.23,14.63,14.79,10410900,14.79
2017-03-09,14.74,14.92,14.43,14.81,9841900,14.81
2017-03-08,15.95,15.95,14.88,14.90,12830400,14.90
2017-03-07,15.89,16.18,15.84,15.88,6756600,15.88
2017-03-06,15.87,16.11,15.74,15.88,5906400,15.88
2017-03-03,15.99,16.05,15.80,15.95,5551400,15.95
2017-03-02,16.44,16.44,15.78,15.85,10399800,15.85
2017-03-01,16.37,16.57,16.30,16.43,6731600,16.43
2017-02-28,15.96,15.96,15.96,15.96,000,15.96
2017-02-27,15.96,15.96,15.96,15.96,000,15.96
2017-02-24,16.28,16.35,15.90,15.96,8976700,15.96
2017-02-23,16.86,16.98,16.30,16.48,8718500,16.48
2017-02-22,17.13,17.13,16.48,16.60,8723300,16.60
2017-02-21,17.28,17.43,17.03,17.16,9437100,17.16
2017-02-20,16.81,17.21,16.78,17.08,2138200,17.08
2017-02-17,16.83,16.98,16.69,16.72,5547600,16.72
2017-02-16,16.89,17.05,16.81,16.97,9962800,16.97
2017-02-15,16.97,17.04,16.73,16.86,12253600,16.86
2017-02-14,16.62,17.00,16.58,16.81,10816300,16.81
2017-02-13,16.50,16.75,16.45,16.56,8043800,16.56
2017-02-10,16.05,16.44,16.05,16.35,9503800,16.35
2017-02-09,16.19,16.32,15.91,15.96,7296500,15.96
2017-02-08,15.88,16.10,15.40,16.10,16409000,16.10
2017-02-07,16.15,16.18,15.75,15.77,5886100,15.77
2017-02-06,16.36,16.51,15.91,15.97,8355600,15.97
2017-02-03,15.98,16.34,15.83,16.34,11630000,16.34
2017-02-02,16.22,16.45,15.85,15.90,9084300,15.90
2017-02-01,16.48,16.70,16.01,16.12,7537900,16.12
2017-01-31,16.30,16.69,16.15,16.19,8176800,16.19
2017-01-30,17.07,17.07,16.14,16.14,7232800,16.14
2017-01-27,17.51,17.51,16.98,17.08,8488000,17.08
2017-01-26,17.73,17.81,17.35,17.39,10499600,17.39
2017-01-25,17.73,17.73,17.73,17.73,000,17.73
2017-01-24,18.00,18.32,17.73,17.73,7706200,17.73
2017-01-23,17.74,18.07,17.59,17.98,4884400,17.98
2017-01-20,18.13,18.25,17.83,17.83,6395100,17.83
2017-01-19,18.19,18.19,17.78,17.93,3799500,17.93
2017-01-18,18.17,18.20,17.94,18.03,3714600,18.03
2017-01-17,18.32,18.38,18.15,18.17,5241300,18.17
2017-01-16,18.42,18.42,18.12,18.25,2255400,18.25
2017-01-13,18.33,18.42,18.08,18.22,4126100,18.22
2017-01-12,18.77,18.85,18.30,18.35,7868900,18.35
2017-01-11,17.79,18.09,17.50,18.05,5919300,18.05
2017-01-10,17.62,17.87,17.52,17.61,6200000,17.61
2017-01-09,17.58,17.64,17.21,17.32,5174300,17.32
2017-01-06,17.77,17.87,17.35,17.49,4240600,17.49
2017-01-05,17.61,17.94,17.60,17.76,6139800,17.76
2017-01-04,17.60,17.76,17.21,17.37,6254000,17.37
2017-01-03,16.79,17.81,16.77,17.58,10110500,17.58
2017-01-02,16.70,16.79,16.52,16.53,1781200,16.53
2016-12-30,16.94,16.94,16.94,16.94,000,16.94
2016-12-29,17.01,17.11,16.63,16.94,4372300,16.94
2016-12-28,16.70,17.10,16.58,16.98,4227600,16.98
2016-12-27,16.90,16.96,16.53,16.69,3989900,16.69
2016-12-26,16.75,16.83,16.65,16.73,1117400,16.73
2016-12-23,16.35,16.73,16.29,16.57,5448100,16.57
2016-12-22,16.71,16.74,16.19,16.35,10540400,16.35
2016-12-21,16.78,16.86,16.36,16.55,6856700,16.55
2016-12-20,16.75,16.95,16.42,16.64,7497700,16.64
2016-12-19,17.36,17.39,16.62,16.67,4786700,16.67
2016-12-16,17.60,17.63,17.20,17.22,13490300,17.22
2016-12-15,17.60,17.69,17.02,17.43,10392100,17.43
2016-12-14,18.25,18.35,17.59,17.59,14056800,17.59
2016-12-13,18.34,18.57,17.96,18.23,9080900,18.23
2016-12-12,18.40,18.73,18.25,18.35,8661700,18.35
2016-12-09,18.51,18.67,18.13,18.19,10113300,18.19
2016-12-08,18.48,18.52,17.96,18.36,9855800,18.36
2016-12-07,18.67,18.76,18.19,18.32,12857100,18.32
2016-12-06,18.18,18.66,17.89,18.61,15923400,18.61
2016-12-05,18.74,18.92,17.88,18.02,11138000,18.02
2016-12-02,17.85,18.71,17.57,18.65,15807800,18.65
2016-12-01,18.47,19.14,18.03,18.21,25129700,18.21
2016-11-30,17.81,18.60,17.74,18.47,18539400,18.47
2016-11-29,17.65,17.65,16.63,16.70,7668400,16.70
2016-11-28,17.44,17.83,17.41,17.63,6853900,17.63
2016-11-25,17.11,17.72,17.11,17.58,4984600,17.58
2016-11-24,17.88,17.97,17.56,17.56,4136200,17.56
2016-11-23,17.55,17.99,17.35,17.80,9087400,17.80
