Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,4.34,4.44,4.30,4.41,13304600,4.41
2017-05-01,4.26,4.26,4.26,4.26,000,4.26
2017-04-28,4.20,4.35,4.16,4.26,15827000,4.26
2017-04-27,4.31,4.34,4.12,4.15,19915600,4.15
2017-04-26,4.06,4.30,4.03,4.27,26303800,4.27
2017-04-25,3.98,4.10,3.97,4.05,16855400,4.05
2017-04-24,4.12,4.15,4.03,4.03,17145400,4.03
2017-04-21,4.04,4.04,4.04,4.04,000,4.04
2017-04-20,4.14,4.16,4.00,4.04,21724700,4.04
2017-04-19,4.05,4.19,3.93,3.96,27950500,3.96
2017-04-18,3.92,4.04,3.87,3.96,17031200,3.96
2017-04-17,3.77,4.10,3.77,3.99,25649100,3.99
2017-04-14,3.70,3.70,3.70,3.70,000,3.70
2017-04-13,3.81,3.87,3.65,3.70,14850700,3.70
2017-04-12,3.89,3.93,3.77,3.79,22761000,3.79
2017-04-11,4.09,4.11,3.92,3.97,13061600,3.97
2017-04-10,4.10,4.13,3.98,4.06,13022100,4.06
2017-04-07,3.90,4.13,3.84,4.02,15013000,4.02
2017-04-06,4.12,4.17,3.92,3.94,20517300,3.94
2017-04-05,4.36,4.39,4.09,4.11,13739500,4.11
2017-04-04,4.37,4.40,4.28,4.31,9793400,4.31
2017-04-03,4.46,4.48,4.33,4.37,8538600,4.37
2017-03-31,4.38,4.48,4.36,4.44,10491100,4.44
2017-03-30,4.44,4.51,4.37,4.42,11988400,4.42
2017-03-29,4.36,4.47,4.32,4.44,12245500,4.44
2017-03-28,4.41,4.48,4.22,4.34,23986400,4.34
2017-03-27,3.93,4.41,3.91,4.40,21111000,4.40
2017-03-24,4.20,4.22,4.01,4.05,11732600,4.05
2017-03-23,4.13,4.25,4.07,4.17,16823900,4.17
2017-03-22,4.07,4.25,3.98,4.20,17601600,4.20
2017-03-21,4.38,4.41,4.13,4.14,17820800,4.14
2017-03-20,4.40,4.51,4.24,4.47,13902700,4.47
2017-03-17,4.75,4.77,4.43,4.43,24434900,4.43
2017-03-16,4.93,5.02,4.70,4.71,19013700,4.71
2017-03-15,4.71,4.91,4.60,4.89,13991500,4.89
2017-03-14,4.69,4.69,4.56,4.65,12248300,4.65
2017-03-13,4.76,4.78,4.65,4.72,7817300,4.72
2017-03-10,4.93,4.94,4.57,4.64,18856900,4.64
2017-03-09,4.68,4.87,4.64,4.84,15178100,4.84
2017-03-08,5.00,5.04,4.72,4.76,20156200,4.76
2017-03-07,5.15,5.27,4.95,4.97,15471800,4.97
2017-03-06,5.25,5.31,5.12,5.12,20490000,5.12
2017-03-03,5.00,5.19,4.91,5.19,14783900,5.19
2017-03-02,5.00,5.06,4.93,4.97,13401300,4.97
2017-03-01,5.03,5.09,4.99,5.01,9930100,5.01
2017-02-28,4.93,4.93,4.93,4.93,000,4.93
2017-02-27,4.93,4.93,4.93,4.93,000,4.93
2017-02-24,4.94,5.03,4.83,4.93,18278400,4.93
2017-02-23,5.33,5.38,5.00,5.03,23461800,5.03
2017-02-22,5.41,5.41,5.26,5.28,14741600,5.28
2017-02-21,5.51,5.53,5.36,5.41,15058500,5.41
2017-02-20,5.51,5.57,5.45,5.45,8727100,5.45
2017-02-17,5.48,5.50,5.36,5.45,12928300,5.45
2017-02-16,5.50,5.57,5.42,5.46,13567000,5.46
2017-02-15,5.49,5.60,5.48,5.52,11499300,5.52
2017-02-14,5.45,5.48,5.32,5.45,12708100,5.45
2017-02-13,5.54,5.62,5.44,5.44,16244900,5.44
2017-02-10,5.16,5.40,5.14,5.37,21195200,5.37
2017-02-09,5.13,5.17,5.03,5.08,8514200,5.08
2017-02-08,5.14,5.14,4.99,5.10,9506600,5.10
2017-02-07,5.18,5.22,5.02,5.08,10914300,5.08
2017-02-06,5.20,5.27,5.09,5.10,9271800,5.10
2017-02-03,5.19,5.23,5.10,5.19,12125200,5.19
2017-02-02,5.22,5.36,5.16,5.22,11239200,5.22
2017-02-01,5.35,5.41,5.23,5.25,16727100,5.25
2017-01-31,5.07,5.30,5.04,5.25,20884900,5.25
2017-01-30,5.10,5.13,4.98,5.03,12666000,5.03
2017-01-27,4.99,5.19,4.92,5.19,13145900,5.19
2017-01-26,5.28,5.29,5.00,5.04,18842300,5.04
2017-01-25,5.15,5.15,5.15,5.15,000,5.15
2017-01-24,5.29,5.38,5.01,5.15,28330900,5.15
2017-01-23,4.85,5.22,4.85,5.22,31557600,5.22
2017-01-20,4.57,4.82,4.56,4.82,18603900,4.82
2017-01-19,4.68,4.70,4.52,4.58,12856700,4.58
2017-01-18,4.79,4.91,4.57,4.63,24100900,4.63
2017-01-17,4.78,4.83,4.64,4.72,18154400,4.72
2017-01-16,4.57,4.78,4.55,4.78,21879700,4.78
2017-01-13,4.49,4.57,4.48,4.55,10670700,4.55
2017-01-12,4.55,4.60,4.50,4.54,20096900,4.54
2017-01-11,4.43,4.44,4.25,4.43,39681500,4.43
