Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,27.70,28.18,27.60,28.06,7808800,28.06
2017-05-01,27.47,27.47,27.47,27.47,000,27.47
2017-04-28,27.14,27.71,27.07,27.47,4813800,27.47
2017-04-27,27.89,28.16,26.42,26.83,9359600,26.83
2017-04-26,28.29,28.59,27.73,27.73,5958400,27.73
2017-04-25,27.32,28.35,27.12,28.35,4663300,28.35
2017-04-24,27.95,27.96,27.09,27.45,3353600,27.45
2017-04-21,28.05,28.05,28.05,28.05,000,27.14443
2017-04-20,27.29,28.10,27.12,28.05,4599100,27.14443
2017-04-19,26.90,27.44,26.54,26.67,6326900,25.80898
2017-04-18,26.55,26.76,26.15,26.61,7202100,25.75092
2017-04-17,27.25,27.47,26.68,27.43,5372400,26.54444
2017-04-14,27.42,27.42,27.42,27.42,000,26.53477
2017-04-13,27.38,27.90,27.28,27.42,4377900,26.53477
2017-04-12,27.60,28.00,27.28,27.42,6287000,26.53477
2017-04-11,29.08,29.29,27.82,28.66,5097200,27.73473
2017-04-10,29.14,29.27,28.38,29.03,3787400,28.09279
2017-04-07,28.20,29.54,27.93,29.15,7506100,28.20892
2017-04-06,29.73,29.89,28.65,28.91,5813500,27.97666
2017-04-05,31.00,31.48,29.27,29.45,6253600,28.49923
2017-04-04,29.56,30.71,29.30,30.65,2444400,29.66049
2017-04-03,29.81,30.00,29.09,29.51,4092200,28.55729
2017-03-31,29.53,30.35,29.29,29.79,4009400,28.82825
2017-03-30,30.00,30.39,29.75,30.10,2264400,29.12825
2017-03-29,30.08,30.52,29.55,30.11,3106200,29.13792
2017-03-28,29.67,30.00,29.36,29.81,4456400,28.84761
2017-03-27,27.99,29.62,27.25,29.39,6849000,28.44117
2017-03-24,29.50,29.51,28.55,29.00,3917800,28.06376
2017-03-23,29.04,29.63,28.43,29.24,7074400,28.29601
2017-03-22,28.45,30.08,28.29,29.40,7020200,28.45084
2017-03-21,30.89,30.97,28.95,29.04,6509400,28.10247
2017-03-20,31.15,31.89,30.90,31.63,3340900,30.60885
2017-03-17,32.69,32.77,31.30,31.30,14673300,30.2895
2017-03-16,33.62,33.84,32.28,32.53,4529000,31.47979
2017-03-15,31.91,33.32,31.57,33.32,7401600,32.24429
2017-03-14,30.75,31.50,30.29,31.17,4101000,30.1637
2017-03-13,30.74,31.38,30.70,31.01,5780300,30.00887
2017-03-10,30.66,31.02,29.65,29.65,5574100,28.69277
2017-03-09,29.45,30.58,29.07,30.18,8743900,29.20566
2017-03-08,31.22,31.35,29.83,30.12,5789100,29.1476
2017-03-07,31.19,31.87,30.80,30.92,6653500,29.92177
2017-03-06,31.40,31.61,30.68,31.10,6393900,30.09596
2017-03-03,31.89,32.29,31.36,31.82,6887300,30.79272
2017-03-02,33.30,33.60,31.35,31.46,6860100,30.44434
2017-03-01,33.05,33.38,32.85,33.17,3262200,32.09913
2017-02-28,32.72,32.72,32.72,32.72,000,31.66366
2017-02-27,32.72,32.72,32.72,32.72,000,31.66366
2017-02-24,32.15,33.91,32.00,32.72,9984400,31.66366
2017-02-23,35.19,35.25,32.80,33.17,12566100,32.09913
2017-02-22,35.33,35.33,34.03,34.69,6845300,33.57006
2017-02-21,36.84,37.28,35.28,35.54,6307900,34.39262
2017-02-20,35.89,36.56,35.78,36.43,6047300,35.25389
2017-02-17,33.61,34.30,33.39,34.07,5909200,32.97008
2017-02-16,33.78,34.44,33.62,33.77,5231900,32.67976
2017-02-15,34.70,34.75,33.69,33.82,6626600,32.72815
2017-02-14,35.53,35.56,34.03,34.40,4651000,33.28942
2017-02-13,34.21,35.85,34.02,35.81,11344600,34.6539
2017-02-10,32.16,32.80,32.10,32.80,5036400,31.74108
2017-02-09,30.52,31.35,30.26,31.08,4011900,30.07661
2017-02-08,30.79,30.82,30.04,30.59,3867100,29.60243
2017-02-07,30.64,31.33,30.08,30.24,4297100,29.26373
2017-02-06,30.66,30.77,29.87,29.92,3554600,28.95406
2017-02-03,32.00,32.00,30.39,30.61,6833500,29.62178
2017-02-02,32.41,33.44,32.41,32.66,4024400,31.6056
2017-02-01,32.70,33.51,32.68,32.89,5928500,31.82817
2017-01-31,32.70,32.95,32.11,32.18,4067300,31.14109
2017-01-30,33.22,33.49,32.14,32.25,3136800,31.20883
2017-01-27,33.48,34.20,33.41,33.70,3244000,32.61202
2017-01-26,34.42,34.63,33.60,33.60,5274700,32.51525
2017-01-25,34.13,34.13,34.13,34.13,000,33.02814
2017-01-24,34.07,34.72,33.27,34.13,5373900,33.02814
2017-01-23,32.21,33.48,32.19,33.31,4369600,32.23461
2017-01-20,30.99,32.43,30.95,32.10,6309700,31.06368
2017-01-19,32.00,32.02,31.03,31.47,5303100,30.45402
2017-01-18,30.35,32.69,30.35,32.11,14846300,31.07335
2017-01-17,31.23,31.30,30.49,30.57,5968500,29.58307
2017-01-16,31.20,32.11,31.20,31.82,2018500,30.79272
2017-01-13,29.89,31.20,29.70,30.98,4424800,29.97984
2017-01-12,30.08,30.42,29.71,30.07,5500500,29.09921
2017-01-11,28.81,29.19,28.33,29.13,3499900,28.18956
2017-01-10,27.42,28.54,27.42,28.54,3606500,27.61861
2017-01-09,26.30,26.85,26.27,26.50,3407800,25.64447
2017-01-06,26.29,26.59,25.86,25.97,4213500,25.13158
2017-01-05,25.98,26.90,25.78,26.68,4031600,25.81866
2017-01-04,26.06,26.23,25.36,25.70,2144400,24.8703
2017-01-03,25.51,26.17,25.40,26.17,5658500,25.32512
2017-01-02,25.28,25.49,25.05,25.06,1118500,24.25096
2016-12-30,25.68,25.68,25.68,25.68,000,24.85094
2016-12-29,26.68,26.85,25.50,25.68,4778000,24.85094
2016-12-28,26.21,26.92,26.21,26.68,6264000,25.81866
2016-12-27,26.23,26.39,25.83,25.86,1967300,25.02513
2016-12-26,25.33,26.07,25.14,25.99,854600,25.15093
2016-12-23,25.46,25.72,25.18,25.19,4234100,24.37676
2016-12-22,25.90,26.03,25.21,25.38,3926800,24.56063
2016-12-21,26.71,26.94,26.22,26.48,3690600,25.62511
2016-12-20,26.21,26.64,25.92,26.58,4565700,25.72189
2016-12-19,27.70,27.94,25.99,26.05,6369800,25.209
2016-12-16,28.28,28.59,27.75,27.75,6343900,26.85411
2016-12-15,27.80,28.63,27.34,28.23,5288200,27.31862
2016-12-14,28.15,28.67,27.50,27.88,7732900,26.97992
2016-12-13,28.95,29.51,28.06,28.33,6229000,27.41539
2016-12-12,29.79,30.05,29.19,29.49,3642800,28.53794
2016-12-09,30.28,30.40,29.46,29.61,5973500,28.65407
2016-12-08,31.30,31.65,30.00,30.13,5145300,29.15728
2016-12-07,30.88,31.48,30.43,31.03,6300800,30.02822
2016-12-06,29.32,30.00,29.13,30.00,4878800,29.03147
2016-12-05,29.77,30.15,29.21,29.60,4397400,28.64439
2016-12-02,27.81,29.49,27.45,29.49,9537100,28.53794
2016-12-01,29.07,30.25,27.91,28.47,11799200,27.38994
2016-11-30,28.98,29.55,27.92,28.06,14907900,26.9955
2016-11-29,30.43,30.45,28.86,29.18,9459400,28.07301
2016-11-28,29.00,31.01,28.59,31.01,8817900,29.83358
2016-11-25,27.53,28.90,27.51,28.90,6218900,27.80363
2016-11-24,28.29,28.53,27.59,27.59,2690500,26.54333
2016-11-23,27.75,28.37,27.34,28.17,6486000,27.10132
2016-11-22,27.07,27.88,26.90,27.77,7431700,26.7165
2016-11-21,24.75,25.90,24.65,25.83,6291900,24.8501
2016-11-18,24.60,24.87,23.72,24.57,6893800,23.6379
2016-11-17,25.49,25.60,24.74,24.74,8337800,23.80145
2016-11-16,25.09,25.32,24.17,25.15,7501900,24.19589
2016-11-15,26.46,26.46,26.46,26.46,000,25.45619
2016-11-14,25.82,26.74,25.56,26.46,7093100,25.45619
