Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,46.85,48.12,46.85,48.12,1993700,48.12
2017-05-01,47.29,47.29,47.29,47.29,000,47.29
2017-04-28,46.68,47.29,46.64,47.29,1563300,47.29
2017-04-27,47.29,47.29,46.35,46.76,1153500,46.76
2017-04-26,47.85,48.39,47.59,48.16,1526900,48.16
2017-04-25,46.63,48.04,46.48,48.04,1928900,48.04
2017-04-24,47.30,47.39,46.43,46.63,1503500,46.63
2017-04-21,47.21,47.21,47.21,47.21,000,47.21
2017-04-20,46.85,47.31,46.78,47.21,1353800,47.21
2017-04-19,46.66,46.85,46.22,46.85,1841000,46.85
2017-04-18,45.87,47.01,45.84,46.60,2098200,46.60
2017-04-17,45.38,46.17,45.27,46.17,1670900,46.17
2017-04-14,45.15,45.15,45.15,45.15,000,45.15
2017-04-13,45.60,45.86,45.15,45.15,1617800,45.15
2017-04-12,45.94,46.18,45.57,45.86,2116800,45.86
2017-04-11,45.39,45.98,44.96,45.75,2021000,45.75
2017-04-10,45.56,45.77,45.17,45.42,1888900,45.42
2017-04-07,45.74,45.93,45.42,45.50,1810800,45.50
2017-04-06,45.79,46.04,45.52,45.74,1675600,45.74
2017-04-05,45.92,46.09,45.63,45.92,1505600,45.92
2017-04-04,46.69,46.72,45.40,45.79,2327300,45.79
2017-04-03,46.60,46.94,46.43,46.69,1783200,46.69
2017-03-31,46.76,47.27,46.47,46.75,2012900,46.5362
2017-03-30,46.83,46.97,46.39,46.86,1661400,46.6457
2017-03-29,46.39,46.84,46.23,46.79,1918200,46.576
2017-03-28,46.32,46.79,46.12,46.38,1562000,46.1679
2017-03-27,46.24,46.84,46.09,46.33,1742900,46.1181
2017-03-24,46.37,46.77,46.16,46.50,1014800,46.2873
2017-03-23,45.88,46.58,45.55,46.25,1326700,46.0385
2017-03-22,46.22,46.41,45.65,46.17,1851700,45.9588
2017-03-21,46.54,46.81,45.61,46.22,1949300,46.0086
2017-03-20,45.74,46.86,45.74,46.41,1842100,46.1977
2017-03-17,46.62,47.26,45.73,45.73,2984100,45.5208
2017-03-16,46.26,47.29,46.25,46.61,2310900,46.3968
2017-03-15,45.48,46.04,44.85,45.81,2027800,45.6005
2017-03-14,45.40,45.78,44.93,45.34,2130500,45.1326
2017-03-13,45.16,45.79,45.15,45.40,1081300,45.1924
2017-03-10,45.60,46.54,44.99,45.10,1578700,44.8937
2017-03-09,45.21,45.90,45.18,45.42,1624600,45.2123
2017-03-08,45.88,45.92,45.18,45.18,1559000,44.9734
2017-03-07,46.30,46.43,45.61,45.74,1306000,45.5308
2017-03-06,46.18,46.69,45.97,46.12,1832900,45.9091
2017-03-03,45.40,46.19,45.11,46.19,1177000,45.9787
2017-03-02,45.47,46.23,45.21,45.40,1850000,45.1924
2017-03-01,45.37,46.14,45.11,45.84,1420400,45.6303
2017-02-28,45.91,45.91,45.91,45.91,000,45.5906
2017-02-27,45.91,45.91,45.91,45.91,000,45.5906
2017-02-24,46.27,46.77,45.65,45.91,1961300,45.5906
2017-02-23,47.30,47.68,46.44,46.50,1669900,46.1765
2017-02-22,47.03,47.40,46.90,47.08,3762200,46.7524
2017-02-21,46.80,47.25,46.06,46.25,1602400,45.9282
2017-02-20,47.38,47.40,46.51,46.80,948300,46.4744
2017-02-17,46.58,46.87,46.24,46.60,1414800,46.2758
2017-02-16,47.06,47.45,46.55,46.70,2041000,46.3751
2017-02-15,47.42,47.59,47.03,47.28,1778500,46.951
2017-02-14,47.51,47.70,46.50,46.95,2003300,46.6233
2017-02-13,47.84,47.95,47.15,47.50,1616500,47.1695
2017-02-10,47.75,47.96,47.36,47.60,1684000,47.2688
2017-02-09,47.62,48.70,47.52,47.75,1667100,47.4178
2017-02-08,47.43,48.03,46.86,48.00,1397200,47.666
2017-02-07,47.68,47.73,47.03,47.40,1696400,47.0702
2017-02-06,47.49,48.12,47.03,47.57,1424200,47.239
2017-02-03,47.32,48.19,47.14,47.57,1688800,47.239
2017-02-02,47.59,47.72,46.82,47.32,1293400,46.9908
2017-02-01,46.78,47.62,46.48,47.59,2072600,47.2589
2017-01-31,46.04,46.84,45.74,46.67,1393100,46.3453
2017-01-30,45.99,46.58,45.87,46.03,801900,45.7097
2017-01-27,46.20,46.40,45.50,46.34,781300,46.0176
2017-01-26,46.16,46.59,45.88,46.00,1710700,45.6799
2017-01-25,46.34,46.34,46.34,46.34,000,46.0176
2017-01-24,45.72,46.79,45.72,46.34,1525500,46.0176
2017-01-23,45.56,46.35,45.24,46.18,1609000,45.8587
2017-01-20,45.76,46.09,45.05,45.28,1008300,44.965
2017-01-19,45.47,46.13,45.07,45.39,1419600,45.0742
2017-01-18,46.21,46.44,45.35,45.35,1745600,45.0345
2017-01-17,44.94,46.45,44.81,46.07,1803500,45.7495
2017-01-16,45.26,45.35,44.65,45.22,881600,44.9054
2017-01-13,45.59,45.89,44.97,45.21,1051900,44.8954
2017-01-12,45.20,46.49,45.20,45.56,2273700,45.243
2017-01-11,44.71,45.12,44.36,45.01,1778100,44.6968
2017-01-10,44.00,44.70,43.61,44.65,1302100,44.3393
2017-01-09,43.78,44.16,43.42,43.79,2082300,43.4853
2017-01-06,43.65,43.97,43.20,43.71,1933800,43.4059
2017-01-05,44.27,44.50,43.30,43.60,1917300,43.2966
2017-01-04,44.59,44.88,43.96,44.35,1171700,44.0414
2017-01-03,44.19,45.44,44.09,44.53,1482000,44.2202
2017-01-02,43.60,44.14,42.99,44.08,591600,43.7733
2016-12-30,44.08,44.08,44.08,44.08,000,43.4068
2016-12-29,43.38,44.26,42.99,44.08,1141200,43.4068
2016-12-28,42.86,43.71,42.56,43.35,953800,42.6879
2016-12-27,43.27,43.45,42.57,43.00,908500,42.3433
2016-12-26,42.95,43.61,42.86,42.99,237500,42.3334
2016-12-23,43.03,43.41,42.72,42.74,630700,42.0873
2016-12-22,43.61,43.65,42.62,43.00,1211400,42.3433
2016-12-21,43.61,43.61,43.61,43.61,1421000,42.944
2016-12-20,42.80,43.48,42.35,43.05,1337800,42.3925
2016-12-19,42.98,43.16,42.45,42.60,1192200,41.9494
2016-12-16,42.89,43.63,42.74,43.00,1582700,42.3433
2016-12-15,41.86,42.93,41.21,42.80,1446700,42.1463
2016-12-14,42.18,43.05,41.91,41.93,1833200,41.2896
2016-12-13,42.56,42.92,42.13,42.18,1632900,41.5358
2016-12-12,42.79,43.45,42.28,42.88,1143300,42.2251
2016-12-09,44.22,44.22,42.92,43.51,1069300,42.8455
2016-12-08,44.50,44.69,43.63,44.00,1245600,43.328
2016-12-07,44.05,44.33,43.24,44.18,1953700,43.5053
2016-12-06,41.66,43.61,41.66,43.61,1849400,42.944
2016-12-05,42.26,42.47,41.09,42.20,1390700,41.5555
2016-12-02,41.72,42.32,40.40,42.16,2395600,41.5161
2016-12-01,44.30,44.99,41.87,42.15,3982900,41.5063
2016-11-30,44.58,45.16,44.00,45.16,3123000,44.4703
2016-11-29,44.00,45.19,43.86,43.96,1671700,43.2886
2016-11-28,43.46,44.44,43.10,44.22,1951700,43.5447
2016-11-25,43.23,43.78,43.07,43.72,895900,43.0523
2016-11-24,43.42,43.93,43.42,43.51,344500,42.8455
2016-11-23,43.86,43.95,43.31,43.69,1098200,43.0228
2016-11-22,44.60,44.60,43.41,43.85,2193100,43.1803
2016-11-21,43.42,44.14,43.42,43.86,953300,43.1902
2016-11-18,43.63,43.82,43.01,43.44,963700,42.7766
2016-11-17,44.85,45.07,43.64,43.82,2170200,43.1508
2016-11-16,44.00,45.08,43.02,44.60,2743600,43.9189
2016-11-15,42.99,42.99,42.99,42.99,000,42.3334
2016-11-14,42.10,43.15,42.10,42.99,2867100,42.3334
2016-11-11,43.16,43.47,42.14,42.50,4892200,41.8509
2016-11-10,45.18,45.62,43.17,43.85,3860400,43.1803
2016-11-09,44.56,45.93,44.30,45.58,2605800,44.8839
2016-11-08,46.10,46.50,45.82,46.13,1248200,45.4255
2016-11-07,45.29,46.45,45.03,46.22,2027200,45.5141
2016-11-04,44.76,45.33,44.52,44.84,1427900,44.1552
2016-11-03,45.50,45.82,44.75,44.75,2312700,44.0666
2016-11-02,45.05,45.05,45.05,45.05,000,44.362
2016-11-01,46.25,46.25,44.84,45.05,2218500,44.362
2016-10-31,45.59,46.18,44.97,46.18,2547100,45.4747
2016-10-28,45.40,45.60,44.85,45.35,1942500,44.6574
2016-10-27,44.80,45.40,44.34,45.20,2213800,44.5097
2016-10-26,44.00,44.99,43.61,44.80,3990000,44.1158
2016-10-25,43.25,43.86,42.83,43.27,1036100,42.6092
2016-10-24,43.95,44.05,43.26,43.40,1536100,42.7372
2016-10-21,43.72,44.32,43.65,43.75,1250000,43.0818
2016-10-20,44.26,44.29,43.66,43.96,3828200,43.2886
2016-10-19,44.75,44.85,44.22,44.41,2089600,43.7318
2016-10-18,43.85,44.50,43.72,44.50,4203000,43.8204
2016-10-17,43.65,43.97,43.52,43.58,3435400,42.9144
2016-10-14,44.10,44.51,43.45,43.45,4808200,42.7864
2016-10-13,44.21,44.64,43.93,44.00,4015900,43.328
2016-10-12,43.89,43.89,43.89,43.89,000,43.2197
2016-10-11,44.01,44.20,43.80,43.89,3070100,43.2197
2016-10-10,44.47,44.50,43.27,43.60,15659800,42.9341
2016-10-07,46.91,47.17,46.45,46.84,1877100,46.1246
2016-10-06,47.21,47.49,46.05,46.87,1748700,46.1542
2016-10-05,47.03,47.55,46.90,47.00,1020600,46.2822
2016-10-04,46.59,47.16,46.33,46.62,1262800,45.908
2016-10-03,46.54,47.45,46.38,46.75,1051100,46.036
2016-09-30,47.72,47.72,46.95,46.95,1556800,45.8419
2016-09-29,47.63,48.07,47.12,47.40,792000,46.2813
