Date,Open,High,Low,Close,Volume,Adj Close
2017-05-02,65404.00,66851.00,65404.00,66722.00,3497000,66722.00
2017-04-28,64679.00,65403.00,64592.00,65403.00,2973700,65403.00
2017-04-27,64872.00,65327.00,64292.00,64677.00,3112100,64677.00
2017-04-26,65144.00,65436.00,64679.00,64862.00,3221600,64862.00
2017-04-25,64384.00,65148.00,63875.00,65148.00,3037200,65148.00
2017-04-24,63761.00,64754.00,63761.00,64389.00,3194100,64389.00
2017-04-20,63406.00,64163.00,63388.00,63761.00,2899700,63761.00
2017-04-19,64165.00,64572.00,63219.00,63407.00,3069500,63407.00
2017-04-18,64336.00,64591.00,63717.00,64159.00,3144800,64159.00
2017-04-17,62828.00,64424.00,62828.00,64335.00,000,64335.00
2017-04-13,63891.00,63992.00,62826.00,62826.00,3212900,62826.00
2017-04-12,64362.00,64456.00,63814.00,63892.00,4253500,63892.00
2017-04-11,64650.00,64872.00,63351.00,64360.00,3178400,64360.00
2017-04-10,64593.00,64928.00,64115.00,64650.00,2984000,64650.00
2017-04-07,64202.00,65197.00,64016.00,64593.00,2853100,64593.00
2017-04-06,64775.00,64921.00,63762.00,64223.00,2875000,64223.00
2017-04-05,65770.00,66211.00,64493.00,64775.00,2982200,64775.00
2017-04-04,65212.00,65775.00,64990.00,65769.00,2085300,65769.00
2017-04-03,64989.00,65384.00,64774.00,65211.00,2858500,65211.00
2017-03-31,65266.00,65597.00,64859.00,64984.00,2614200,64984.00
2017-03-30,65541.00,65775.00,65070.00,65266.00,2335700,65266.00
2017-03-29,64636.00,65551.00,64476.00,65528.00,3488200,65528.00
2017-03-28,64308.00,64847.00,64042.00,64640.00,3359100,64640.00
2017-03-27,63829.00,64356.00,63030.00,64308.00,2672800,64308.00
2017-03-24,63554.00,63997.00,63469.00,63854.00,2571200,63854.00
2017-03-23,63521.00,63942.00,62840.00,63531.00,3447400,63531.00
2017-03-22,62980.00,63747.00,62496.00,63521.00,4063300,63521.00
2017-03-21,64884.00,64965.00,62795.00,62980.00,3700200,62980.00
2017-03-20,64210.00,65136.00,63672.00,64884.00,3613900,64884.00
2017-03-17,65783.00,66205.00,64152.00,64210.00,5213000,64210.00
2017-03-16,66232.00,66554.00,65531.00,65783.00,2860400,65783.00
2017-03-15,64702.00,66318.00,64537.00,66235.00,3742100,66235.00
2017-03-14,65511.00,65549.00,64699.00,64699.00,2824800,64699.00
2017-03-13,64674.00,65651.00,64674.00,65534.00,2162800,65534.00
2017-03-10,64586.00,65725.00,64472.00,64675.00,3432900,64675.00
2017-03-09,64718.00,65068.00,64203.00,64585.00,3513300,64585.00
2017-03-08,65748.00,65810.00,64496.00,64718.00,3727200,64718.00
2017-03-07,66343.00,66641.00,65668.00,65742.00,2886200,65742.00
2017-03-06,66786.00,66892.00,66119.00,66341.00,3337500,66341.00
2017-03-03,65860.00,66801.00,65860.00,66786.00,2654400,66786.00
2017-03-02,67000.00,67035.00,65594.00,65855.00,3095300,65855.00
2017-03-01,66661.00,67398.00,66661.00,66989.00,2378500,66989.00
2017-02-24,67458.00,67458.00,66452.00,66662.00,3059900,66662.00
2017-02-23,68590.00,69488.00,67279.00,67461.00,3977800,67461.00
2017-02-22,69052.00,69052.00,68282.00,68590.00,3374600,68590.00
2017-02-21,68536.00,69112.00,68536.00,69052.00,3051100,69052.00
2017-02-20,67756.00,68674.00,67756.00,68533.00,2171300,68533.00
2017-02-17,67814.00,67819.00,67158.00,67748.00,2787300,67748.00
2017-02-16,67979.00,68456.00,67661.00,67814.00,3550800,67814.00
2017-02-15,66712.00,68016.00,66712.00,67976.00,4119600,67976.00
2017-02-14,66971.00,67110.00,66251.00,66713.00,3370900,66713.00
2017-02-13,66125.00,67094.00,66125.00,66968.00,3108800,66968.00
2017-02-10,64965.00,66292.00,64935.00,66125.00,3439000,66125.00
2017-02-09,64850.00,65302.00,64587.00,64965.00,2641700,64965.00
2017-02-08,64200.00,64835.00,63740.00,64835.00,3138600,64835.00
2017-02-07,64022.00,64815.00,63938.00,64199.00,2776200,64199.00
2017-02-06,64957.00,65327.00,63933.00,63993.00,2551400,63993.00
2017-02-03,64579.00,65387.00,64264.00,64954.00,3482700,64954.00
2017-02-02,64835.00,65132.00,64163.00,64578.00,2959200,64578.00
2017-02-01,64687.00,65594.00,64687.00,64836.00,3214300,64836.00
2017-01-31,64310.00,64901.00,64284.00,64671.00,2737700,64671.00
2017-01-30,66025.00,66025.00,64165.00,64302.00,2264300,64302.00
2017-01-27,66195.00,66242.00,65876.00,66034.00,2583400,66034.00
2017-01-26,65842.00,66594.00,65842.00,66191.00,3494100,66191.00
2017-01-24,65752.00,66173.00,65615.00,65840.00,3850500,65840.00
2017-01-23,64519.00,65816.00,64500.00,65749.00,2957000,65749.00
2017-01-20,63951.00,64694.00,63951.00,64521.00,000,64521.00
2017-01-19,64145.00,64456.00,63574.00,63951.00,2867100,63951.00
2017-01-18,64360.00,64680.00,64063.00,64150.00,3008900,64150.00
2017-01-17,63827.00,64658.00,63456.00,64354.00,000,64354.00
2017-01-16,63652.00,64014.00,63556.00,63831.00,000,63831.00
2017-01-13,63940.00,64092.00,63366.00,63652.00,2735500,63652.00
2017-01-12,62448.00,64342.00,62448.00,63954.00,4535000,63954.00
2017-01-11,62134.00,62674.00,61665.00,62446.00,3139800,62446.00
2017-01-10,61710.00,62446.00,61710.00,62132.00,2623400,62132.00
2017-01-09,61680.00,62112.00,61307.00,61700.00,2480800,61700.00
2017-01-06,62072.00,62072.00,61396.00,61665.00,2374800,61665.00
2017-01-05,61594.00,62409.00,61594.00,62071.00,3313000,62071.00
2017-01-04,61811.00,61940.00,61302.00,61589.00,2840800,61589.00
2017-01-03,59631.00,61815.00,59631.00,61814.00,3328300,61814.00
2017-01-02,60227.00,60227.00,59371.00,59589.00,808700,59589.00
2016-12-29,59782.00,60248.00,59278.00,60227.00,2119500,60227.00
2016-12-28,58688.00,59911.00,58688.00,59782.00,000,59782.00
2016-12-27,58627.00,59068.00,58402.00,58697.00,000,58697.00
2016-12-26,57941.00,58781.00,57941.00,58620.00,680200,58620.00
2016-12-23,57255.00,58143.00,57255.00,57937.00,2155400,57937.00
2016-12-22,57646.00,57646.00,56829.00,57255.00,2809800,57255.00
2016-12-21,57583.00,58049.00,57221.00,57647.00,2461900,57647.00
2016-12-20,57116.00,57918.00,57038.00,57583.00,2673400,57583.00
2016-12-19,58390.00,58600.00,57109.00,57111.00,3396500,57111.00
2016-12-16,58398.00,59312.00,58365.00,58389.00,3683900,58389.00
2016-12-15,58214.00,58635.00,57575.00,58396.00,3569400,58396.00
2016-12-14,59280.00,59338.00,58212.00,58212.00,3857000,58212.00
2016-12-13,59178.00,59946.00,58758.00,59281.00,3589100,59281.00
2016-12-12,60517.00,60517.00,59035.00,59179.00,000,59179.00
2016-12-09,60688.00,61129.00,60316.00,60501.00,3339800,60501.00
2016-12-08,61430.00,61936.00,60499.00,60677.00,2936600,60677.00
2016-12-07,61111.00,61918.00,61062.00,61414.00,3841700,61414.00
2016-12-06,59828.00,61235.00,59396.00,61088.00,3606500,61088.00
2016-12-05,60322.00,60720.00,59635.00,59832.00,2861200,59832.00
2016-12-02,59499.00,60379.00,58092.00,60316.00,4344200,60316.00
2016-12-01,61906.00,61911.00,59058.00,59507.00,5352800,59507.00
2016-11-30,60994.00,62590.00,60994.00,61906.00,4587300,61906.00
2016-11-29,62859.00,62859.00,60980.00,60987.00,3423900,60987.00
2016-11-28,61559.00,62934.00,61240.00,62855.00,2752000,62855.00
2016-11-25,61394.00,61559.00,60573.00,61559.00,2653700,61559.00
2016-11-24,61999.00,62105.00,61392.00,61396.00,000,61396.00
2016-11-23,61956.00,62046.00,61234.00,61986.00,3489700,61986.00
2016-11-22,61072.00,62550.00,61072.00,61954.00,3987100,61954.00
2016-11-21,59963.00,61070.00,59963.00,61070.00,3520100,61070.00
2016-11-18,59770.00,60193.00,59327.00,59962.00,3462400,59962.00
2016-11-17,60763.00,61493.00,59746.00,59770.00,3531300,59770.00
2016-11-16,59658.00,60915.00,59364.00,60759.00,4582900,60759.00
2016-11-14,59183.00,59961.00,58322.00,59657.00,5408500,59657.00
2016-11-11,61199.00,61626.00,58921.00,59184.00,7572800,59184.00
2016-11-10,63261.00,63903.00,60553.00,61201.00,7623700,61201.00
2016-11-09,64157.00,64358.00,61794.00,63258.00,5630100,63258.00
2016-11-08,64052.00,64767.00,63381.00,64158.00,3265100,64158.00
2016-11-07,61601.00,64193.00,61601.00,64052.00,3325900,64052.00
2016-11-04,61749.00,62699.00,61491.00,61598.00,3972500,61598.00
2016-11-03,63325.00,63524.00,61750.00,61750.00,4124000,61750.00
2016-11-01,64922.00,65291.00,63019.00,63326.00,4505600,63326.00
2016-10-31,64312.00,65054.00,64312.00,64925.00,3816900,64925.00
2016-10-28,64251.00,64728.00,63778.00,64308.00,3788500,64308.00
2016-10-27,63827.00,64609.00,63827.00,64250.00,3587500,64250.00
2016-10-26,63860.00,63924.00,63084.00,63826.00,4299200,63826.00
2016-10-25,64059.00,64266.00,63248.00,63866.00,3918100,63866.00
2016-10-24,64141.00,64691.00,63914.00,64060.00,3663900,64060.00
2016-10-21,63838.00,64372.00,63379.00,64108.00,3662900,64108.00
2016-10-20,63495.00,63927.00,62729.00,63838.00,3421500,63838.00
2016-10-19,63784.00,64089.00,63309.00,63506.00,3614000,63506.00
2016-10-18,62701.00,63937.00,62701.00,63782.00,4390300,63782.00
2016-10-17,61768.00,62696.00,61719.00,62696.00,3340700,62696.00
2016-10-14,61120.00,62039.00,61120.00,61767.00,3691200,61767.00
2016-10-13,61020.00,61329.00,60243.00,61119.00,4952700,61119.00
2016-10-11,61668.00,61668.00,60885.00,61022.00,3568000,61022.00
2016-10-10,61130.00,61756.00,61130.00,61668.00,2936900,61668.00
2016-10-07,60645.00,61275.00,60479.00,61109.00,4243800,61109.00
2016-10-06,60254.00,60724.00,60070.00,60644.00,3507200,60644.00
2016-10-05,59340.00,60477.00,59340.00,60254.00,3378900,60254.00
2016-10-04,59461.00,59580.00,58892.00,59339.00,3894600,59339.00
2016-10-03,58370.00,59549.00,58367.00,59461.00,2774100,59461.00
2016-09-30,58350.00,58900.00,58271.00,58367.00,2858200,58367.00
2016-09-29,59346.00,59621.00,58292.00,58351.00,3200300,58351.00
2016-09-28,58383.00,59415.00,58353.00,59356.00,3233400,59356.00
2016-09-27,58066.00,58490.00,57411.00,58382.00,2953400,58382.00
2016-09-26,58697.00,58697.00,57904.00,58054.00,2108800,58054.00
2016-09-23,58992.00,59131.00,58409.00,58697.00,2809900,58697.00
2016-09-22,58408.00,59462.00,58408.00,58994.00,3365300,58994.00
2016-09-21,57736.00,58575.00,57326.00,58394.00,3889700,58394.00
2016-09-20,57356.00,57902.00,57356.00,57736.00,3001000,57736.00
2016-09-19,57083.00,58025.00,57083.00,57350.00,2691100,57350.00
2016-09-16,57909.00,57909.00,56794.00,57080.00,3710700,57080.00
2016-09-15,57068.00,58127.00,57068.00,57909.00,2812000,57909.00
2016-09-14,56812.00,57342.00,56694.00,57059.00,3329100,57059.00
2016-09-13,58580.00,58580.00,56459.00,56821.00,4377800,56821.00
2016-09-12,57998.00,58595.00,57511.00,58586.00,3529200,58586.00
2016-09-09,60220.00,60220.00,57961.00,58000.00,3992900,58000.00
